created_month,created_year,cd,total_requests,serviced_month,requesttype,count_service,avg_request_closed,percentage_service
January,2020,Council District 1,5890,January,Bulky Items,3088,4,52.43
January,2020,Council District 1,5890,January,Electronic Waste,203,3,3.45
January,2020,Council District 1,5890,January,Graffiti Removal,1206,4,20.48
January,2020,Council District 1,5890,January,Homeless Encampment,231,56,3.92
January,2020,Council District 1,5890,January,Illegal Dumping Pickup,568,11,9.64
January,2020,Council District 1,5890,January,Metal/Household Appliances,489,3,8.3
January,2020,Council District 1,5890,January,Multiple Streetlight Issue,33,40,0.56
January,2020,Council District 1,5890,January,Single Streetlight Issue,72,46,1.22
January,2020,Council District 2,6694,January,Bulky Items,4050,3,60.5
January,2020,Council District 2,6694,January,Electronic Waste,237,3,3.54
January,2020,Council District 2,6694,January,Graffiti Removal,864,3,12.91
January,2020,Council District 2,6694,January,Homeless Encampment,348,56,5.2
January,2020,Council District 2,6694,January,Illegal Dumping Pickup,542,9,8.1
January,2020,Council District 2,6694,January,Metal/Household Appliances,606,3,9.05
January,2020,Council District 2,6694,January,Multiple Streetlight Issue,20,27,0.3
January,2020,Council District 2,6694,January,Single Streetlight Issue,27,12,0.4
January,2020,Council District 3,6079,January,Bulky Items,3495,3,57.49
January,2020,Council District 3,6079,January,Electronic Waste,232,3,3.82
January,2020,Council District 3,6079,January,Graffiti Removal,536,1,8.82
January,2020,Council District 3,6079,January,Homeless Encampment,656,27,10.79
January,2020,Council District 3,6079,January,Illegal Dumping Pickup,416,9,6.84
January,2020,Council District 3,6079,January,Metal/Household Appliances,700,3,11.52
January,2020,Council District 3,6079,January,Multiple Streetlight Issue,15,19,0.25
January,2020,Council District 3,6079,January,Single Streetlight Issue,29,5,0.48
January,2020,Council District 4,5891,January,Bulky Items,3738,3,63.45
January,2020,Council District 4,5891,January,Electronic Waste,227,2,3.85
January,2020,Council District 4,5891,January,Graffiti Removal,450,5,7.64
January,2020,Council District 4,5891,January,Homeless Encampment,321,43,5.45
January,2020,Council District 4,5891,January,Illegal Dumping Pickup,397,9,6.74
January,2020,Council District 4,5891,January,Metal/Household Appliances,621,2,10.54
January,2020,Council District 4,5891,January,Multiple Streetlight Issue,53,37,0.9
January,2020,Council District 4,5891,January,Single Streetlight Issue,84,32,1.43
January,2020,Council District 5,4826,January,Bulky Items,2939,3,60.9
January,2020,Council District 5,4826,January,Dead Animal Removal,1,0,0.02
January,2020,Council District 5,4826,January,Electronic Waste,199,2,4.12
January,2020,Council District 5,4826,January,Graffiti Removal,365,7,7.56
January,2020,Council District 5,4826,January,Homeless Encampment,386,35,8.0
January,2020,Council District 5,4826,January,Illegal Dumping Pickup,279,10,5.78
January,2020,Council District 5,4826,January,Metal/Household Appliances,553,3,11.46
